Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Santa Maria-Santa Barbara, CA Metro Area",443975,26949,25922,29713,37560,45375,31124,27733,25703,26119,22973,23403,24817,24602,20928,19567,12715,8267,10505,34.5,100.6,206977,82375,40869,36311,28066,19356,95977,137063
"Santa Rosa-Petaluma, CA Metro Area",485642,22837,25642,27674,29435,26353,28717,31336,32128,31737,29282,30955,32810,34931,32819,29136,18562,9796,11492,42.7,96.8,246077,103052,46366,48395,24907,23357,102840,138572
"Sault Ste. Marie, MI Micro Area",36448,1648,1767,1970,2344,3153,2370,2397,1955,2493,2241,2212,2120,2806,2413,1754,1176,873,756,41.3,119.3,15383,4714,3587,3703,1318,2061,60631,77181
"Savannah, GA Metro Area",412089,25206,26393,26424,27808,28437,30650,31404,28804,27944,23966,24125,24921,23936,20920,17014,11762,6327,6048,36.7,94.4,195614,74455,35232,40637,15178,30112,74632,99643
"Sayre, PA Micro Area",59971,3345,3521,4117,3414,3031,3343,3431,3274,3119,3220,3789,4702,4413,4432,3181,2461,1424,1754,43.7,99.8,25548,8635,3272,4497,2869,6275,62482,84646
"Scottsbluff, NE Micro Area",36594,2306,2719,2249,2483,1960,2143,2256,2144,2061,2005,1998,2071,2668,2226,2102,1242,731,1230,40.1,93.6,17429,6214,3071,3786,1960,2398,61156,78460
"Scottsboro, AL Micro Area",52839,2773,2659,3546,3033,2938,3005,2988,3267,3047,3406,3577,3846,3750,3677,2882,2515,1134,796,43.4,97.9,21058,6430,2916,3435,3088,5189,49454,67768
"Scranton--Wilkes-Barre, PA Metro Area",567887,29392,31969,33000,35929,34317,33803,36287,34288,33509,33539,37496,39389,40400,35205,30898,20624,12823,15019,42.2,98.3,266598,95640,46732,54125,21795,48306,63656,84749
"Seaford, DE Micro Area",247799,11985,12265,13345,12002,10885,11704,12109,12396,11583,11795,13867,18611,22202,24952,21265,13899,7422,5512,51.4,94.4,106378,38710,20726,22315,12048,12579,78162,105000
"Searcy, AR Micro Area",77395,4398,4259,6101,5980,5700,4305,5272,4218,4891,4545,4689,4861,5359,4216,3281,2582,1509,1229,38.4,95.6,32515,10947,5840,6155,3505,6068,53435,73577
"Seattle-Tacoma-Bellevue, WA Metro Area",4021467,228151,236278,242870,227102,237022,322556,355425,325830,292230,255735,255254,238490,239685,195459,150554,95072,58495,65259,37.4,102.1,2111989,1077864,299308,365610,152001,217206,112594,152753
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",163856,6295,6913,7120,7576,7487,6601,7168,8210,7420,7851,9287,12462,13443,14247,15150,10696,7733,8197,55.0,94.0,65205,24689,12087,16360,6191,5878,71049,104837
"Sebring, FL Metro Area",103808,4280,4755,5303,4759,4216,4975,4503,4948,5076,4662,5315,6021,7695,9219,8688,8041,6414,4938,54.2,96.0,35736,11642,7411,7405,5209,4069,55581,72590
"Sedalia, MO Micro Area",43205,2992,3234,2802,3062,2439,2685,2619,3182,2457,2223,2410,2442,3251,2548,1793,1441,791,834,37.9,100.9,20239,5740,3835,3699,2399,4566,60232,78089
"Selinsgrove, PA Micro Area",39711,2078,2163,2402,3363,3032,2009,2355,2156,2095,2296,2525,2533,2761,2270,2151,1414,1180,928,40.5,100.4,19235,6149,3029,3626,2452,3979,68435,86097
"Selma, AL Micro Area",37536,2226,2215,2826,2570,2192,2088,2126,2375,1835,2088,2174,2474,2924,2589,1941,1221,934,738,40.3,86.5,13868,4005,2236,3029,1239,3359,36810,55600
"Seneca, SC Micro Area",79566,3544,4026,5039,4514,3892,4345,4754,4430,3698,4534,5089,6265,6172,6230,5413,3601,2033,1987,46.7,96.7,32548,11661,5858,5325,3655,6049,60193,87937
"Seneca Falls, NY Micro Area",33125,1819,1822,1995,1796,1787,2034,2200,2093,1809,1786,2164,2318,2620,2268,1904,1115,647,948,42.8,107.1,14679,5301,2565,2671,2130,2012,66007,86730
"Sevierville, TN Micro Area",98802,5328,5653,5995,5641,5225,6055,5628,5915,5559,6294,6784,6766,8261,6780,5406,3495,2295,1722,43.6,98.2,47631,14259,10264,12303,4799,6006,63829,84059
"Seymour, IN Micro Area",46319,3216,3290,3143,2902,2793,3011,2769,2744,3518,2695,2765,3028,3020,2469,1790,1372,818,976,38.8,104.1,22379,6677,2845,4205,2329,6323,70208,85011
"Shawano, WI Micro Area",45183,2517,2615,3056,2706,2352,2187,2477,2304,2567,2523,2995,3722,3561,3218,2451,1724,1037,1171,44.6,101.8,21008,6408,3570,3897,2807,4326,66189,84571
"Shawnee, OK Micro Area",73011,4212,4643,5171,5218,5097,4457,4607,4833,4528,4510,4406,4904,4390,4224,3026,2527,1219,1039,38.0,92.5,29922,10210,5189,6098,3919,4506,60828,76506
"Sheboygan, WI Metro Area",117783,6202,6855,7683,7393,7180,7139,6600,7067,7483,6923,7508,8083,9157,7525,6073,3560,2750,2602,41.8,103.4,60796,20800,9625,10543,5208,14620,71898,92593
"Shelby-Kings Mountain, NC Micro Area",100170,5807,6401,6319,6488,5985,6505,6349,4640,6227,5764,6867,7205,6839,6314,5053,3651,1670,2086,41.2,93.1,44401,14583,6944,8817,4411,9646,55769,75411
"Shelbyville, TN Micro Area",51291,3387,3142,4234,3430,2951,3904,3192,3006,3709,3116,3356,2857,3549,2250,2164,1431,1003,610,37.6,103.5,24108,6603,4459,4209,3577,5260,62197,78968
"Shelton, WA Micro Area",66968,3384,3830,3679,3493,3251,3891,4117,4231,3683,3598,3670,4642,5617,5634,4348,2636,1669,1595,44.8,108.9,26041,9276,4255,4879,4238,3393,78359,97813
"Sheridan, WY Micro Area",31585,1490,1757,2292,2015,1655,1597,1790,1832,2171,1813,1842,2036,2321,2341,1971,1320,708,634,42.9,100.8,15499,6246,2944,2452,2130,1727,70855,90918
"Sherman-Denison, TX Metro Area",139988,8719,9667,9409,9661,7998,8373,8605,8572,8148,8473,8590,9194,9558,8073,6999,4088,2730,3131,39.4,96.1,66269,21707,11188,15917,7108,10349,70455,94814
"Show Low, AZ Micro Area",107744,6583,8002,8005,7530,5815,6320,6626,5650,6304,5685,5756,7145,7232,7393,5771,3894,2521,1512,39.4,100.9,34528,12116,6829,6988,4728,3867,52752,67131
"Shreveport-Bossier City, LA Metro Area",389004,24370,24855,28514,24552,22623,25411,27215,25045,26008,22313,22001,23659,25187,20812,19417,11296,7375,8351,38.2,93.0,159332,60627,31975,32844,13293,20593,54635,81366
"Sidney, OH Micro Area",48007,3073,2783,3836,3217,2971,2803,2748,2492,3007,2846,3084,3455,3252,3208,1928,1603,830,871,40.1,102.5,23715,7285,3004,3962,2215,7249,72822,91960
"Sierra Vista-Douglas, AZ Metro Area",125458,6533,7377,7666,7717,6906,7486,7798,7082,7443,6236,6647,7700,8547,8602,8911,6086,4103,2618,42.9,104.1,43088,16294,9217,9152,4319,4106,58970,77541
"Sikeston, MO Micro Area",50046,3063,3185,3586,3041,2933,2962,3560,2650,3075,2892,3243,3388,3260,3146,2302,1728,1052,980,40.1,97.9,21936,6797,3888,4545,2284,4422,55225,73855
"Silver City, NM Micro Area",27856,1178,1330,1590,1603,1522,1305,1195,1617,1402,1449,1432,1802,2202,2476,2290,1778,781,904,49.0,101.9,9658,3724,1822,1557,1553,1002,45921,68708
"Sioux City, IA-NE-SD Metro Area",144007,9850,10321,11144,10454,9909,8914,9277,8732,9157,8586,8078,8778,8400,8324,5431,3623,2681,2348,36.2,100.9,71863,23559,11321,13000,7395,16588,72027,91580
"Sioux Falls, SD-MN Metro Area",293107,20295,22185,21348,18200,17459,20762,21542,22488,19376,16841,16084,17416,17306,14233,12362,6336,4435,4439,36.1,102.3,163317,67815,24905,32660,14987,22950,81418,106253
"Slidell-Mandeville-Covington, LA Metro Area",269331,15618,18079,18265,17996,14447,14362,15840,18825,16914,16391,17388,18589,18100,15897,14123,8775,4674,5048,40.4,96.0,125648,55622,20156,27174,11119,11577,79277,106854
"Snyder, TX Micro Area",16633,1049,1039,1407,1202,1043,1171,1291,920,1259,685,1014,1090,903,826,716,439,313,266,36.4,115.4,6829,1865,1485,1288,1368,823,62689,85314
"Somerset, KY Micro Area",65503,3701,3592,4604,3817,3404,3789,3976,4057,4057,4083,4453,4708,4610,3607,4011,1895,1552,1587,42.2,97.0,26718,8305,4313,6665,2579,4856,50943,75173
"Somerset, PA Micro Area",73255,3360,3713,3816,3781,3653,4039,4057,4458,4161,4610,5106,5201,6112,5482,4433,2473,2154,2646,47.0,110.1,32499,10288,5499,6404,4308,6000,59378,75974
"Sonora, CA Micro Area",54873,2414,2620,2686,2654,2577,3080,3416,2831,3432,2684,3199,3717,4364,4788,4300,2465,1863,1783,48.8,106.1,21057,7976,5005,3804,2139,2133,72259,97299
"South Bend-Mishawaka, IN-MI Metro Area",324180,19353,20374,21329,24202,23826,20869,20535,20209,18710,18227,19398,19654,21117,19342,14561,9766,6206,6502,37.9,96.8,153366,60155,23326,30670,12138,27077,65385,90240
"Sparta, WI Micro Area",46169,2896,3336,3357,3044,2349,2472,2774,3105,2772,2539,2822,3315,3253,2670,2280,1294,908,983,39.6,105.6,21591,6380,3478,3420,3242,5071,68213,85024
"Spartanburg, SC Metro Area",365086,21910,23570,24396,24377,22552,24795,25685,22647,22011,22192,23763,24265,22530,19965,16816,10267,6499,6846,38.3,94.9,169590,55708,27123,33895,16837,36027,62440,82890
"Spearfish, SD Micro Area",26574,1019,1075,1417,2110,1943,1326,1578,1771,1256,1297,1471,1364,2534,2212,1884,806,812,699,43.8,98.9,14426,5265,3500,2545,1592,1524,66766,90061
"Spencer, IA Micro Area",16446,868,1119,1160,955,957,817,934,1053,892,876,959,962,1294,1122,895,569,551,463,41.8,97.8,8237,3057,1179,1662,877,1462,64082,83566
"Spirit Lake, IA Micro Area",17844,823,1025,959,942,771,890,967,830,1095,922,1070,1160,1469,1451,1383,835,589,663,48.1,100.5,9303,3397,1411,2071,855,1569,74570,98855
"Spokane-Spokane Valley, WA Metro Area",591793,33034,36038,36908,37123,37131,42093,43528,39873,37667,33697,34808,34144,41477,34503,29684,17051,11824,11210,38.8,99.8,270525,107333,48390,57098,22761,34943,72836,97687
"Springfield, IL Metro Area",207386,11581,13035,12699,12979,11724,12389,12675,13403,13266,12230,13039,14928,14096,12630,11040,6074,5133,4465,40.9,93.5,97074,43566,16530,20641,6579,9758,74580,97676
"Springfield, MA Metro Area",462853,24363,26944,28066,31829,31773,30620,30914,27955,28604,26485,29424,30880,32478,28178,20793,14156,8396,10995,39.8,94.6,214730,82705,43029,42060,15624,31312,70535,93919
"Springfield, MO Metro Area",481671,28471,29505,32240,32172,39874,33322,31201,31103,29374,26999,27605,28577,29940,26138,21242,14636,9867,9405,37.3,96.4,230116,88048,37482,51313,19351,33922,61488,83570
"Springfield, OH Metro Area",135445,7888,8720,8481,8835,7951,7997,8059,7969,7313,7817,8682,9464,9154,8381,7550,4566,3581,3037,41.2,96.4,59841,19116,11030,11234,5881,12580,60846,77705
"Starkville, MS Micro Area",61415,3098,3145,3187,7169,11693,4490,3503,3028,3126,2479,2684,2632,3197,2882,1785,1693,755,869,27.4,96.1,26631,10498,4208,6012,1925,3988,46930,68865
"State College, PA Metro Area",158041,5726,6691,6534,17869,23698,10276,10192,9052,8545,7957,8799,8729,9424,7864,6555,4158,2728,3244,33.8,111.2,73733,37765,12343,12430,4034,7161,72748,99196
"Statesboro, GA Micro Area",92112,5135,4597,6111,10103,12872,5996,5960,5541,5074,4868,4743,4788,4642,3974,3320,1870,1448,1070,31.0,93.9,41311,14464,7084,7871,4821,7071,56172,78090
"Staunton-Stuarts Draft, VA Metro Area",126052,6545,7109,6369,7316,6715,7742,8257,8405,7640,7475,7810,9145,8984,8431,6849,4701,2911,3648,42.8,98.8,61301,21697,10372,12266,5861,11105,70949,86936
"Steamboat Springs, CO Micro Area",38248,1789,2243,2345,2110,1814,2497,2907,2663,2782,2451,2557,2751,2810,2593,1821,961,532,622,41.0,108.0,20358,9029,2875,3648,2900,1906,93984,127269
"Stephenville, TX Micro Area",43244,2575,2392,2522,4670,5435,2894,2623,2510,2190,2155,2192,2348,2446,2095,1638,1106,765,688,31.9,95.8,21248,7423,3832,4506,2626,2861,65351,86705
"Sterling, CO Micro Area",21067,1015,1038,1056,1386,1414,1765,1476,1804,1176,1123,1140,1188,1560,1290,903,735,639,359,39.1,118.7,9760,3184,2216,1500,1125,1735,55074,73188
"Sterling, IL Micro Area",55192,2928,3451,3571,3328,3094,2974,2967,3200,3105,3373,3442,3648,4284,3428,3384,2076,1385,1554,43.4,100.5,26390,8582,4402,4932,2322,6152,64536,84990
"Stevens Point-Plover, WI Micro Area",70375,3234,3891,3801,5546,7845,4395,3958,4151,3903,3686,4033,4423,4953,4175,3508,2398,1330,1145,38.1,104.4,37693,14209,6170,7120,3598,6596,73284,92252
"Stillwater, OK Micro Area",82290,3944,4950,3846,9581,15254,6209,4901,4346,4410,3627,3294,3277,3908,3097,3076,2143,1263,1164,27.7,104.7,37189,16216,6905,6713,3181,4174,48937,71869
"Stockton-Lodi, CA Metro Area",787416,52015,54459,65272,58798,52027,53630,55242,54798,53917,47628,46968,45956,42225,34846,27837,18315,11478,12005,35.2,100.4,345069,109334,61501,65436,43731,65067,88531,114559
"Storm Lake, IA Micro Area",20684,1439,1570,1461,1736,1406,1279,1184,1511,1036,1357,875,1346,1167,1090,864,496,298,569,35.7,106.3,10268,2539,1237,1740,1141,3611,66564,89885
"Sturgis, MI Micro Area",60870,3745,4285,4138,4068,3374,3604,3674,3738,3393,3409,3666,4465,4038,3697,3246,1949,1307,1074,39.8,101.6,27616,7333,3697,4761,3165,8660,64707,78907
"Sulphur Springs, TX Micro Area",37351,2284,2665,2529,2451,2203,2233,2268,2251,2043,2149,2546,2408,2463,2488,1569,1177,832,792,39.6,97.0,17336,5524,2394,3425,2425,3568,64725,86649
"Summerville, GA Micro Area",24975,1397,1548,1514,1504,1486,1593,1605,1375,1838,1502,1737,1492,1806,1328,1366,836,473,575,41.1,106.8,9349,2072,1422,1762,1163,2930,47785,59859
"Sumter, SC Metro Area",104853,6803,7078,6910,6722,7806,7292,7217,6589,5477,5409,6123,6696,6507,5949,4829,3219,1903,2324,37.3,93.6,40885,13296,7601,8521,4031,7436,55990,72474
"Sunbury, PA Micro Area",109004,5624,5764,6318,5951,5445,6254,7076,6936,6199,6484,7003,7937,8380,7667,5967,4129,3019,2851,44.1,102.4,49533,16651,8892,8828,4952,10210,59922,81102
"Susanville, CA Micro Area",31177,1474,1496,1627,1492,1762,3121,2979,2448,2436,1839,1981,1903,1642,1786,1217,880,518,576,37.8,164.1,9542,2921,2158,1864,1029,1570,64395,81066
"Sweetwater, TX Micro Area",14565,913,873,1281,1094,820,728,995,1072,508,767,842,916,832,1138,593,456,213,524,36.5,104.1,6439,1696,1517,1112,952,1162,50160,73488
"Syracuse, NY Metro Area",657128,35298,36947,40033,49231,44471,40477,41953,40864,36752,35482,41788,45192,48951,40077,31042,20977,12709,14884,39.9,95.9,313263,135939,51810,65073,22954,37487,73558,96946
"Tahlequah, OK Micro Area",47621,2579,2641,3124,3675,4970,2960,2675,2809,2826,2487,2775,2957,2808,2692,2206,1369,1050,1018,37.3,95.7,20833,8063,3844,4055,2498,2373,53668,75092
"Talladega-Sylacauga, AL Micro Area",91493,4842,5286,5079,5375,5082,5891,5761,4840,6094,5711,6305,5738,7574,6430,4537,2632,2944,1372,42.8,95.8,36004,10553,5392,6846,4254,8959,56331,72401
"Tallahassee, FL Metro Area",388298,19458,19851,21864,34113,49189,26878,24314,23007,23237,20937,21255,20790,23019,20581,16790,10794,6718,5503,34.7,93.2,189569,86617,33121,42298,12799,14734,63078,88953
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3240469,161580,173235,185913,184139,179408,206428,220669,217057,200223,200668,213489,223757,221134,198966,169685,126748,79509,77861,42.2,95.5,1550287,654470,256065,359634,125653,154465,71254,100901
"Taos, NM Micro Area",34516,1024,1328,2134,1954,1414,1416,1410,1854,2312,1856,2143,2046,3381,3165,3030,2077,1286,686,51.9,96.2,14755,5773,3019,2911,2009,1043,58908,85295
"Taylorville, IL Micro Area",33684,1685,2027,1753,1881,1955,1999,2083,2402,1957,2080,2178,2503,2550,2133,1613,1213,957,715,42.7,107.9,14814,4675,3121,3184,1478,2356,59253,74729
"Terre Haute, IN Metro Area",168850,9295,9502,10330,11814,15085,11054,10518,10245,10138,9758,10159,10184,10845,10442,7221,5526,3168,3566,38.4,103.3,75105,24048,14794,13892,7067,15304,55380,76380
"Texarkana, TX-AR Metro Area",146868,8830,9643,10320,9621,8733,9398,9630,9466,9515,8641,9038,9139,9207,8188,6915,4786,3415,2383,38.9,99.4,59917,19747,11643,12753,6178,9596,55046,76705
"The Dalles, OR Micro Area",26603,1453,1598,1747,1434,1536,1640,1805,1881,1472,1483,1413,1660,1921,1973,1443,889,484,771,40.5,103.1,11904,4227,2098,2199,1741,1639,63602,91342
"Thomaston, GA Micro Area",27856,1717,1431,2159,1724,1614,1729,1886,1292,1936,1512,1752,2039,1949,1866,1190,898,603,559,41.4,91.1,11449,3232,2392,2334,1230,2261,50904,74428
"Thomasville, GA Micro Area",71752,4384,4786,4977,4749,4009,4149,4295,4744,4061,4128,4447,5076,4575,4226,3759,2305,1709,1373,39.7,91.7,32575,11023,5410,6785,4046,5311,58186,77739
"Tiffin, OH Micro Area",54861,2964,3179,3432,4449,3777,3263,3069,2951,3464,3143,3342,3898,3695,3451,2793,1511,1388,1092,40.5,101.7,26758,8073,4112,4467,2740,7366,65020,79613
"Tifton, GA Micro Area",50237,3374,3167,4008,3740,2696,3370,3357,3254,3209,2800,3022,3232,2884,2829,2043,1812,700,740,37.3,92.6,20715,6547,3749,4437,2808,3174,50810,72067
"Toccoa, GA Micro Area",26842,1691,1556,1732,1736,1759,1576,1548,1520,1364,1441,1715,1459,2231,1721,1598,1037,593,565,41.2,90.9,11366,2934,2198,2623,990,2621,52264,68056
"Toledo, OH Metro Area",602977,35180,37771,38413,42576,44095,40664,40446,36161,35591,34526,36324,38656,39833,35426,27442,17196,11276,11401,38.0,95.7,290342,106467,48075,58127,20734,56939,63749,88701
"Topeka, KS Metro Area",232724,13281,14829,16031,15766,13442,13566,13596,15238,13417,12855,13897,14991,17120,14805,11918,7908,4843,5221,40.2,96.7,111320,42901,18423,21635,11670,16691,68160,87252
"Torrington, CT Micro Area",112848,4786,5321,6088,6749,5456,6277,6504,7045,6016,6444,8168,8844,10049,7741,7039,4530,2466,3325,47.1,99.9,58502,26899,9508,10570,5624,5901,91035,130654
"Town of Pecos, TX Micro Area",13219,878,696,1123,1145,1009,914,1076,1112,747,1112,662,643,480,438,485,259,172,268,34.4,146.0,5783,829,1335,1148,1428,1043,56056,70309
"Traverse City, MI Metro Area",154657,7068,7750,8849,8760,7517,8323,9232,9496,8689,8609,9585,11517,12526,12057,10410,6117,3717,4435,46.1,98.8,74498,29791,12838,15366,7022,9481,77495,102139
"Trenton-Princeton, NJ Metro Area",383286,21529,22580,25030,27663,26955,23717,23718,23956,25791,25650,26385,25175,25125,20230,14982,9737,7554,7509,39.2,97.8,186085,91115,29283,32796,11634,21257,96333,138732
"Troy, AL Micro Area",32953,1648,1816,1751,3444,4942,2298,1724,1781,1504,1575,1786,1624,1970,1576,1373,935,627,579,31.7,91.2,14716,5277,2784,2967,1201,2487,47961,69002
"Truckee-Grass Valley, CA Micro Area",102452,4121,4742,5422,4854,4086,4399,5387,6768,5591,5556,5971,6739,9225,9557,8159,5492,3393,2990,50.3,97.6,44139,19656,7807,9273,4252,3151,84905,117745
"Tucson, AZ Metro Area",1049947,52285,59643,59323,69449,88847,71381,64538,62714,59205,56398,56610,59362,68118,67041,58790,43449,27728,25066,39.7,97.7,468800,194842,90459,101007,39177,43315,67929,92561
"Tullahoma-Manchester, TN Micro Area",65551,4060,4246,4577,4140,3752,3856,4335,3964,3946,3858,4188,4195,4711,4195,2596,2520,1121,1291,39.8,97.1,29019,9455,4665,5068,3151,6680,61256,75965
"Tulsa, OK Metro Area",1026209,64981,68627,74384,69415,64379,68840,70534,69459,65062,60812,60916,61454,63837,54003,44267,29667,18597,16975,37.3,97.6,484163,187334,76776,103763,47787,68503,67823,94114
"Tupelo, MS Micro Area",132079,7971,8788,9166,9596,8423,8518,8473,8438,8135,8195,8365,8411,8241,6756,5707,4264,2714,1918,38.0,93.9,60211,20046,7393,13241,5244,14287,63188,85441
"Tuscaloosa, AL Metro Area",275217,15190,16442,16162,25753,29539,18678,18431,16405,16809,15080,14939,14221,16970,14848,10433,6659,4705,3953,34.3,93.3,125779,48519,19392,23632,12040,22196,59975,81473
"Twin Falls, ID Metro Area",116909,7790,8739,9748,8809,7053,7473,7927,7775,7546,6515,5973,6289,6834,6252,4817,3492,1985,1892,35.5,100.3,54752,17902,9264,10159,7920,9507,66473,86866
"Tyler, TX Metro Area",238014,15096,16566,16214,16874,15786,15959,15992,13935,15588,13265,13654,14366,13900,13433,10319,6610,5310,5147,37.4,94.1,109601,38518,19150,23928,10465,17540,71923,96148
"Ukiah, CA Micro Area",90709,4887,5565,5421,5177,4468,4666,5171,5885,5149,5049,5352,5815,6275,7021,6617,4039,2152,2000,43.9,98.4,37656,12330,8541,8009,4645,4131,64688,91472
"Union City, TN Micro Area",30570,1675,1977,1992,1738,1665,1769,1694,1697,2207,1841,1882,2165,2007,1822,1804,1266,706,663,41.9,93.6,12914,3795,2322,2349,1112,3336,53102,71392
"Urbana, OH Micro Area",38772,2152,1883,2873,2509,2041,2345,2355,2393,2112,2345,2722,2951,2750,2260,2032,1344,1080,625,41.6,99.2,19026,6711,2765,3152,1538,4860,74239,87101
"Urban Honolulu, HI Metro Area",1003666,58349,58020,59617,53478,66676,71563,72732,69522,63634,58294,59882,59729,60706,56887,46324,35431,22833,29989,39.4,102.2,462629,189389,93269,100571,37759,41641,104264,133753
"Utica-Rome, NY Metro Area",289577,15625,16613,18619,18811,17924,17036,17384,17008,16692,16326,18563,20253,21242,18070,15081,10265,6696,7369,41.6,99.8,129997,51287,24402,27672,10320,16316,68830,88096
"Utuado, PR Micro Area",27896,884,1082,1792,1610,1656,1694,1674,1432,1683,1621,1833,2051,2030,1942,1775,1434,841,862,46.3,93.0,7016,2051,1614,1993,751,607,17624,25230
"Uvalde, TX Micro Area",24810,1769,1904,1745,1978,1906,1563,1677,1470,1774,1248,1162,1440,1102,1062,1173,642,584,611,34.6,101.1,10463,3039,2346,2266,1757,1055,57849,74085
"Valdosta, GA Metro Area",149139,9892,9681,10708,11486,15768,11274,10313,9294,8360,7397,8030,8595,7559,6756,5892,3886,2142,2106,32.6,93.0,62796,19692,11453,14927,6089,10635,54581,74207
"Vallejo, CA Metro Area",450824,25947,27301,29140,27011,27455,30594,33167,31018,30135,26256,27639,29898,28976,26414,20533,13290,7920,8130,39.1,99.4,209241,73352,41068,45175,21517,28129,99994,124288
"Van Wert, OH Micro Area",28824,1770,1705,1968,1824,1600,1775,1669,1488,1949,1667,1800,1845,2145,1855,1397,1036,681,650,41.4,99.3,13989,4759,2010,2248,1132,3840,65344,79526
"Vermillion, SD Micro Area",15133,758,722,750,2457,3045,991,865,524,724,509,605,613,727,608,512,254,213,256,24.5,98.1,7781,3366,1605,1431,603,776,58794,76464
"Vernal, UT Micro Area",36458,2777,3470,3271,3114,2162,2084,2471,3012,2308,2158,1776,1957,1622,1499,1278,627,505,367,33.0,101.7,14776,3970,2644,3147,2192,2823,69861,92354
"Vernon, TX Micro Area",12712,943,704,629,1095,703,797,704,854,787,626,837,760,869,891,561,451,314,187,39.5,92.6,5506,1563,1436,1082,378,1047,51626,69207
"Vicksburg, MS Micro Area",43623,2667,2674,3154,2935,2486,2674,2522,2488,2884,2564,2686,2777,3201,2811,2123,1598,721,658,40.3,91.9,18636,6988,3715,3594,1345,2994,56648,81976
"Victoria, TX Metro Area",98377,6336,7142,6818,6649,6228,6461,6638,6643,5757,5430,5146,6390,5776,5178,4769,3257,1748,2011,37.1,97.2,44557,14532,7495,9505,5729,7296,69618,88835
"Vidalia, GA Micro Area",35618,2338,2320,2649,3030,2320,1834,2281,2220,2130,2051,2000,2092,2256,1994,1523,983,943,654,37.5,96.3,14767,5018,2145,2235,2246,3123,53809,72821
"Vincennes, IN Micro Area",36108,1992,2107,2310,2715,2742,2016,2198,2311,2007,2157,2028,2192,2684,2322,1562,1126,810,829,39.1,103.3,17852,5695,3445,3195,1671,3846,58863,80327
"Vineland, NJ Metro Area",152915,9425,10154,11328,9863,9125,10085,10933,11250,8946,9455,9651,9072,9822,8773,5170,4076,2801,2986,37.6,104.2,63333,18147,14025,11193,6699,13269,64499,94856
"Vineyard Haven, MA Micro Area",20751,832,785,1231,1391,568,911,1257,1244,945,1069,1388,1723,2020,1391,1869,946,488,693,50.4,97.2,10908,4796,2167,1588,1452,905,102348,176872
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",1782590,107666,110286,111158,113627,127560,131283,133653,126450,111382,97504,103792,114108,114705,95118,73111,51064,31317,28806,37.2,96.6,826079,350563,142534,168770,69202,95010,80533,105690
"Visalia, CA Metro Area",475774,35008,39320,43441,39643,33618,33625,33282,32687,29536,26588,25774,23746,23627,18171,15619,9383,6311,6395,31.9,100.5,192571,52227,36485,35063,38649,30147,69489,90157
"Wabash, IN Micro Area",30901,1644,1482,2080,2147,1915,1744,1758,1370,2102,1761,1937,2202,2181,1789,1818,1245,908,818,42.6,96.3,14590,4476,2499,2660,1325,3630,68414,82223
"Waco, TX Metro Area",299217,18861,19531,20404,24442,28253,19788,18212,18987,16771,15613,16644,16666,17265,15602,12141,9024,5392,5621,35.0,95.6,136096,47921,22681,28927,14580,21987,63880,87278
"Wahpeton, ND-MN Micro Area",22963,1313,1314,1538,1957,1622,1239,1271,1388,1251,1079,1286,1555,1683,1505,1023,734,534,671,39.3,106.9,11599,4015,2132,2007,1505,1940,70762,93862
"Walla Walla, WA Metro Area",62102,3084,3437,3911,5352,5318,3611,3838,3602,3862,3298,3347,3481,3888,3651,3186,2026,1276,1934,38.3,103.3,28129,10290,6129,5127,2689,3894,72212,96277
"Wapakoneta, OH Micro Area",46209,2795,2802,3317,3146,2577,2699,2772,2713,2534,2636,2886,3636,2843,3199,2020,1306,1009,1319,40.6,100.1,23785,7680,4005,4034,2075,5991,76454,91185
"Warner Robins, GA Metro Area",195171,12105,13802,14229,13846,12972,13297,13854,13143,13504,11722,11362,12494,11858,9724,7069,4455,3176,2559,36.5,94.9,88532,34850,12655,19604,7768,13655,78702,94314
"Warren, PA Micro Area",38174,1979,1926,2248,2027,1826,1939,1968,2015,2132,2066,2575,2791,3442,2833,2506,1730,1097,1074,47.4,101.4,16784,5455,3169,2797,1608,3755,59013,76006
"Warrensburg, MO Micro Area",54331,3444,3410,3347,4465,7495,4116,3643,3558,2813,2448,2612,3045,2922,2144,2067,1092,901,809,31.3,104.7,23989,8448,4121,4602,2611,4207,67123,82729
"Warsaw, IN Micro Area",80357,4850,4899,5916,5682,4904,5162,5103,4547,5071,4343,4788,5255,5750,4852,3703,2561,1538,1433,39.0,100.1,40150,12540,5009,6852,3740,12009,73922,90354
"Washington, IN Micro Area",33442,2692,2964,2564,2471,1891,2103,2156,1931,2113,1672,1714,1912,1964,1765,1273,886,558,813,34.7,99.5,14999,4397,2231,2584,2314,3473,68561,85989
