Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2043713,125458,128061,135243,131110,134747,155114,157445,148958,140370,129538,128674,128917,118086,99672,76453,50509,30302,25056,36.8,96.7,1076090,479841,148739,222773,82754,141983,82499,113441
"Natchez, MS-LA Micro Area",54550,3210,3274,3476,3724,3466,2999,3110,3622,3060,2720,3156,3330,4285,3967,2859,1824,1403,1065,40.5,95.4,17599,5523,4082,3321,2344,2329,38706,57588
"Natchitoches, LA Micro Area",37047,2267,2310,2480,3457,4408,2233,1995,1793,2090,1796,1891,1803,2311,2043,1661,1109,643,757,33.3,92.2,14755,5240,2711,3209,1433,2162,46798,68240
"New Bern, NC Micro Area",122634,7033,6847,7092,7193,8992,7850,7431,7043,6301,6368,7077,8022,8733,8638,7052,4767,3281,2914,41.4,99.9,48880,17335,9343,10078,4686,7438,63380,84796
"Newberry, SC Micro Area",38121,2086,2038,2681,2620,2657,2196,1965,1664,2582,2219,2487,2236,3097,2464,2076,1556,913,584,42.0,95.3,17135,5677,2978,3005,1934,3541,59670,79019
"New Castle, IN Micro Area",48896,2438,2905,2733,2863,2974,3130,2962,2908,3052,3305,3256,3358,3619,3092,2381,2014,997,909,42.1,111.6,21028,6436,3413,4480,2118,4581,60144,78234
"New Haven, CT Metro Area",566803,28367,29655,32996,39324,39536,37602,37246,37021,32321,32947,37406,38512,40746,32294,27220,18315,11242,14053,40.2,93.5,287656,134510,48815,52812,20261,31258,86266,118110
"New Iberia, LA Micro Area",69194,4683,5343,4596,4691,4420,4388,4185,3718,4710,3650,4170,4675,4801,4106,2812,1838,1210,1198,37.8,97.6,28346,8825,5102,6035,4102,4282,57811,76182
"New Orleans-Metairie, LA Metro Area",988763,58808,59257,61753,58231,58003,66819,74421,72964,63995,57059,59273,63967,67488,56781,46666,27777,17081,18420,38.9,93.2,459976,192407,86671,89345,42449,49104,62271,90627
"New Philadelphia-Dover, OH Micro Area",92585,5897,5806,6141,5577,5219,5526,5358,5469,5298,5409,5714,6226,6542,6132,4814,3067,2460,1930,41.2,100.7,42414,12829,6868,7923,4137,10657,64494,78457
"Newport, OR Micro Area",50632,1907,2342,2391,2353,2081,2057,2382,2801,2855,2629,2875,3597,4597,5523,4535,2683,1651,1373,52.5,93.1,19707,6661,4731,4122,2077,2116,61314,83483
"Newport, TN Micro Area",36503,2098,1958,2136,2007,1813,2106,2028,1960,1923,2257,2551,2754,2931,2619,2318,1492,768,784,45.4,95.0,15104,3790,3504,2499,1760,3551,48416,63075
"New Ulm, MN Micro Area",25826,1440,1667,1611,1662,1693,1323,1350,1514,1499,1262,1439,1634,2105,1613,1424,931,634,1025,42.4,100.2,13322,4717,2234,2430,1253,2688,68690,84690
